# Copyright © 2012, Stanford University. All rights reserved.
#
# Authors:
#    Jonathan R Karr, jkarr@stanford.edu
#    Jayodita C Sanghvi, jayodita@stanford.edu
#    Derek N Macklin, macklin@stanford.edu
#    Jared M Jacobs, jmjacobs@stanford.edu
#    Markus W Covert, mcovert@stanford.edu
#
# Affiliation:
#    Covert Lab
#    Department of Bioengineering
#    Stanford University
#    http://covertlab.stanford.edu
#
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html.
#
# Species: Mycoplasma genitalium G37
# Database: MGEN243273cyc
# Version: 16.0
# File Name: compound-links.dat
# Date and time generated: March 29, 2012, 18:01:32
#
A23CMP		NC1=NC=NC2=C1N=CN2C1OC(CO)C2OP([O-])(=O)OC12	2',3'-Cyclic AMP	4-(6-amino-9H-purin-9-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-2H-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate	4-(6-aminopurin-9-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate
A3MP		NC1=NC=NC2=C1N=CN2C1OC(CO)C(OP([O-])([O-])=O)C1O	3'-AMP	[5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate	[5-(6-aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate
AC		C([O-])(=O)C	acetate	acetate	acetate
ACAL		[CH](C)=O	acetaldehyde	acetaldehyde	acetaldehyde
ACCOA		CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1OP([O-])([O-])=O)N1C=NC2=C1N=CN=C2N	Acetyl-CoA	{3-[(2-{[2-(acetylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropyl} ({[5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonatooxy)oxolan-2-yl]methyl phosphonato}oxy)phosphonate	{3-[(2-{[2-(acetylsulfanyl)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropyl} ({[5-(6-aminopurin-9-yl)-4-hydroxy-3-(phosphonatooxy)oxolan-2-yl]methyl phosphonato}oxy)phosphonate
acetamide		CC(=O)N	acetamide 	acetamide	acetamide
acriflavine		C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N	Acriflavine	3,6-diamino-10-methylacridin-10-ium	3,6-diamino-10-methylacridin-10-ium
ACTP		CC(=O)OP([O-])([O-])=O	Acetyl phosphate	(acetyloxy)phosphonate	acetyl phosphate
AD		C1=NC2=C(N1)C(=NC=N2)N	adenine	7H-purin-6-amine	adenine
ADN		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O	adenosine	2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	adenosine
ADP		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])([O-])=O)C(O)C1O	ADP	[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl (phosphonatooxy)phosphonate	[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl (phosphonatooxy)phosphonate
AEPP		C(CP(=O)(O)O)N	2-aminoethylphosphonate	(2-aminoethyl)phosphonic acid	(2-aminoethyl)phosphonic acid
AHCYS		NC1=NC=NC2=C1N=CN2C1OC(CSCCC([NH3+])C([O-])=O)C(O)C1O	S-Adenosyl-L-homocysteine	4-({[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}sulfanyl)-2-azaniumylbutanoate	2-aminio-4-({[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}sulfanyl)butanoate
AHL_3OC12		CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O	N-(3-Oxododecanoyl)homoserine lactone	3-oxo-N-(2-oxooxolan-3-yl)dodecanamide	3-oxo-N-(2-oxooxolan-3-yl)dodecanamide
AHL_3OC6		CCCC(CC(=O)NC1CCOC1=O)=O	N-(3-Oxohexanoyl)homoserine lactone	3-oxo-N-(2-oxooxolan-3-yl)hexanamide	3-oxo-N-(2-oxooxolan-3-yl)hexanamide
AKG		[O-]C(=O)CCC(=O)C([O-])=O	2-Oxoglutarate	2-oxopentanedioate	?-ketoglutarate
ALA		C(=O)(O)C(C)N	L-alanine	2-aminopropanoic acid	alanine
AlaAla		CC(C(=O)NC(C)C(=O)O)N	L-alanyl-L-alanine	2-(2-aminopropanamido)propanoic acid	ala-ala
AMET		C[S+](CCC([NH3+])C([O-])=O)CC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2N	S-Adenosyl-L-methionine	4-({[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}(methyl)sulfaniumyl)-2-azaniumylbutanoate	2-aminio-4-({[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}(methyl)sulfaniumyl)butanoate
aminodimethylaniline		CN(C)C1=CC=C(C=C1)N	N,N'-dimethyl-p-phenylenediamine	1-N,1-N-dimethylbenzene-1,4-diamine	1-N,1-N-dimethylbenzene-1,4-diamine
AMP		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])([O-])=O)C(O)C1O	AMP	[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate	[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate
AMP_ALA		CC(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-alanyl-AMP
AMP_ARG		NC(=[NH2+])NCCCC([NH3+])C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Arginyl-AMP
AMP_ASN		NC(CC(N)=O)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Asparagyl-AMP
AMP_ASP		NC(CC([O-])=O)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Aspartyl-AMP
AMP_CYS		NC(CS)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Cysteinyl-AMP
AMP_FMET		CSCCC(NC=O)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	N-Formyl-L-methionine-AMP
AMP_GLN		NC(CCC(N)=O)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-glutaminyl-AMP
AMP_GLU		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])([O-])=O)C(OC(=O)C([NH3+])CCC([O-])=O)C1O	L-Glutamatyl-AMP
AMP_GLY		NCC(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	glycyl-AMP
AMP_HIS		NC(CC1=CNC=N1)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Histidyl-AMP
AMP_ILE		CCC(C)C(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Isoleucyl-AMP
AMP_LEU		CC(C)CC(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Leucyl-AMP
AMP_LYS		NC(CCCC[NH3+])C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Lysyl-AMP
AMP_Lysine		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)NCCCCC([NH3+])C(O)=O)C(O)C1O	AMP-Lysine	{[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}[(5-azaniumyl-5-carboxypentyl)amino]phosphinate	[(5-aminio-5-carboxypentyl)amino]({[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinate
AMP_MET		CSCCC(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Methionyl-AMP
AMP_Mor		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)[NH+]2CCOCC2)C(O)C1O	AMP-morpholidate	[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl morpholin-4-ium-4-phosphonate	[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl morpholin-4-ium-4-phosphonate
AMP_NH2		NC1=NC=NC2=C1N=CN2C1OC(COP([NH3+])([O-])=O)C(O)C1O	AMP-NH2	{[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(azaniumyl)phosphinate	aminio({[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinate
AMP_PHE		NC(CC1=CC=CC=C1)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-phenylalanyl-AMP
AMP_PRO		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])([O-])=O)C(OC(=O)C2CCCN2)C1O	L-Prolyl-AMP
AMP_SER		NC(CO)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Seryl-AMP
AMP_THR		CC(O)C(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Threonyl-AMP
AMP_TRP		NC(CC1=CNC2=C1C=CC=C2)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-tryptophanyl-AMP
AMP_TYR		NC(CC1=CC=C(O)C=C1)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-tyrosyl-AMP
AMP_VAL		CC(C)C(N)C(=O)OC1C(COP([O-])([O-])=O)OC(C1O)N1C=NC2=C1N=CN=C2N	L-Valyl-AMP
anthranilate		NC1=CC=CC=C1C([O-])=O	2-aminobenzoic acid	2-aminobenzoate	anthranilate
ApAp		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OC2C(COP([O-])([O-])=O)OC(C2O)N2C=NC3=C2N=CN=C3N)C(O)C1O	Ap-Ap	5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl 5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-[(phosphonatooxy)methyl]oxolan-3-yl phosphate	5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl 5-(6-aminopurin-9-yl)-4-hydroxy-2-[(phosphonatooxy)methyl]oxolan-3-yl phosphate
ARG		NC(=[NH2+])NCCCC([NH3+])C([O-])=O	L-Arginine	5-{[amino(iminiumyl)methyl]amino}-2-azaniumylpentanoate	argininium
ArgArg		NC(=[NH2+])NCCCC([NH3+])C(=O)NC(CCCNC(N)=[NH2+])C([O-])=O	L-arginyl-L-arginine	5-{[amino(iminiumyl)methyl]amino}-2-(5-{[amino(iminiumyl)methyl]amino}-2-azaniumylpentanamido)pentanoate	2-(2-aminio-5-{[amino(iminio)methyl]amino}pentanamido)-5-{[amino(iminio)methyl]amino}pentanoate
ASN		C(=O)(O)C(N)CC(N)=O	L-Asparagine	2-amino-3-carbamoylpropanoic acid	asparagine
AsnAsn		C(C(C(=O)NC(CC(=O)N)C(=O)O)N)C(=O)N	L-asparaginyl-L-asparagine	2-(2-amino-3-carbamoylpropanamido)-3-carbamoylpropanoic acid	2-(2-amino-3-carbamoylpropanamido)-3-carbamoylpropanoic acid
ASP		NC(CC([O-])=O)C(O)=O	L-Aspartate	3-amino-3-carboxypropanoate	3-amino-3-carboxypropanoate
AspAsp		NC(CC([O-])=O)C(=O)NC(CC([O-])=O)C(O)=O	L-aspartyl-L-aspartic Acid	3-amino-3-[(1-carboxy-2-carboxylatoethyl)carbamoyl]propanoate	3-amino-3-[(1-carboxy-2-carboxylatoethyl)carbamoyl]propanoate
ATP		NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)C(O)C1O	ATP	({[5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	({[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate
aza6dT		CC1=NN(C(=O)NC1=O)C2CC(C(O2)CO)O	6-aza-2'-deoxythymidine	2-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-methyl-2,3,4,5-tetrahydro-1,2,4-triazine-3,5-dione	2-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-6-methyl-4H-1,2,4-triazine-3,5-dione
aza6dTMP		CC1=NN(C2CC(O)C(COP([O-])([O-])=O)O2)C(=O)NC1=O	6-aza-2'-deoxythymidine monophosphate	[3-hydroxy-5-(6-methyl-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazin-2-yl)oxolan-2-yl]methyl phosphate	[3-hydroxy-5-(6-methyl-3,5-dioxo-4H-1,2,4-triazin-2-yl)oxolan-2-yl]methyl phosphate
aza6THY		CC1=NNC(=O)NC1=O	6-aza-thymine	6-methyl-2,3,4,5-tetrahydro-1,2,4-triazine-3,5-dione	6-azathymine
aza8AD		NC1=NC=NC2=C1N=NN2	8-aza-adenine	3H-[1,2,3]triazolo[4,5-d]pyrimidin-7-amine	3H-[1,2,3]triazolo[4,5-d]pyrimidin-7-amine
aza8dA		C1C(C(OC1N2C3=C(C(=NC=N3)N)N=N2)CO)O	8-aza-2'-deoxyadenosine	5-{7-amino-3H-[1,2,3]triazolo[4,5-d]pyrimidin-3-yl}-2-(hydroxymethyl)oxolan-3-ol	5-{7-amino-[1,2,3]triazolo[4,5-d]pyrimidin-3-yl}-2-(hydroxymethyl)oxolan-3-ol
aza8dAMP		NC1=NC=NC2=C1N=NN2C1CC(O)C(COP([O-])([O-])=O)O1	8-aza-2'-deoxyadenosine monophosphate	(5-{7-amino-3H-[1,2,3]triazolo[4,5-d]pyrimidin-3-yl}-3-hydroxyoxolan-2-yl)methyl phosphate	(5-{7-amino-[1,2,3]triazolo[4,5-d]pyrimidin-3-yl}-3-hydroxyoxolan-2-yl)methyl phosphate
azithromycin		CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	azithromycin
benzalkonium		CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	Benzalkonium	benzyldimethyltridecylazanium	benzyldimethyltridecylazanium
berberine		COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC	Berberine	16,17-dimethoxy-5,7-dioxa-13$l^{5}-azapentacyclo[11.8.0.0^{2,10}.0^{4,8}.0^{15,20}]henicosa-1(13),2,4(8),9,14,16,18,20-octaen-13-ylium	16,17-dimethoxy-5,7-dioxa-13$l^{5}-azapentacyclo[11.8.0.0^{2,10}.0^{4,8}.0^{15,20}]henicosa-1(13),2,4(8),9,14,16,18,20-octaen-13-ylium
BUT		O=C(O)CCC	butyric acid, butanoic acid	butanoic acid	butyric acid
butylene_glycol		CCC(CO)O	1,2-Butylene glycol	butane-1,2-diol	1,2-butanediol
