# Copyright © 2012, Stanford University. All rights reserved.
#
# Authors:
#    Jonathan R Karr, jkarr@stanford.edu
#    Jayodita C Sanghvi, jayodita@stanford.edu
#    Derek N Macklin, macklin@stanford.edu
#    Jared M Jacobs, jmjacobs@stanford.edu
#    Markus W Covert, mcovert@stanford.edu
#
# Affiliation:
#    Covert Lab
#    Department of Bioengineering
#    Stanford University
#    http://covertlab.stanford.edu
#
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html.
#
# Species: Mycoplasma genitalium G37
# Database: MGEN243273cyc
# Version: 16.0
# File Name: protein-links.dat
# Date and time generated: March 29, 2012, 18:01:33
#
MG_001_MONOMER	MG_001		DNA polymerase III, beta subunit
MG_002_MONOMER	MG_002		DnaJ domain protein
MG_003_MONOMER	MG_003		DNA gyrase, B subunit
MG_004_MONOMER	MG_004		DNA gyrase, A subunit
MG_005_MONOMER	MG_005		seryl-tRNA synthetase
MG_006_MONOMER	MG_006		thymidylate kinase
MG_007_MONOMER	MG_007		DNA polymerase III delta prime subunit, putative
MG_008_MONOMER	MG_008		tRNA modification GTPase TrmE
MG_009_MONOMER	MG_009		deoxyribonuclease
MG_010_MONOMER	MG_010		DNA primase-related protein
MG_011_MONOMER	MG_011		
MG_012_MONOMER	MG_012		alpha-L-glutamate ligase
MG_013_MONOMER	MG_013		methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
MG_014_MONOMER	MG_014		multidrug ABC transporter, ATP-binding/permease protein
MG_015_MONOMER	MG_015		multidrug ABC transporter, ATP-binding/permease protein
MG_018_MONOMER	MG_018		SNF2 family helicase putative
MG_019_MONOMER	MG_019		chaperone protein DnaJ
MG_020_MONOMER	MG_020		proline iminopeptidase
MG_021_MONOMER	MG_021		methionyl-tRNA synthetase
MG_022_MONOMER	MG_022		DNA-directed RNA polymerase, delta subunit
MG_023_MONOMER	MG_023		fructose-1,6-bisphosphate aldolase, class II
MG_024_MONOMER	MG_024		GTP-binding protein YchF
MG_025_MONOMER	MG_025		Beta-glycosyl transferase
MG_026_MONOMER	MG_026		translation elongation factor P
MG_027_MONOMER	MG_027		transcription termination/antitermination protein NusB
MG_028_MONOMER	MG_028		
MG_029_MONOMER	MG_029		DJ-1/PfpI family protein
MG_030_MONOMER	MG_030		uracil phosphoribosyltransferase
MG_031_MONOMER	MG_031		DNA polymerase III, alpha subunit, Gram-positive type
MG_032_MONOMER	MG_032		
MG_033_MONOMER	MG_033		glycerol uptake facilitator
MG_034_MONOMER	MG_034		thymidine kinase
MG_035_MONOMER	MG_035		histidyl-tRNA synthetase
MG_036_MONOMER	MG_036		aspartyl-tRNA synthetase
MG_037_MONOMER	MG_037		nicotinate phosphoribosyltransferase
MG_038_MONOMER	MG_038		glycerol kinase
MG_039_MONOMER	MG_039		FAD-dependent glycerol-3-phosphate dehydrogenase, putative
MG_040_MONOMER	MG_040		Monosaccharide (riboside/galactoside) ABC transporter, substrate binding protein
MG_041_MONOMER	MG_041		PTS system, HPr
MG_042_MONOMER	MG_042		spermidine/putrescine (polyamine) ABC transporter, ATP-binding protein, putative
MG_043_MONOMER	MG_043		spermidine/putrescine (polyamine) ABC transporter, permease protein, putative
MG_044_MONOMER	MG_044		spermidine/putrescine (polyamine) ABC transporter, permease protein, putative
MG_045_MONOMER	MG_045		spermidine/putrescine (polyamine) ABC transporter, spermidine/putrescine binding protein, putative
MG_046_MONOMER	MG_046		metalloendopeptidase
MG_047_MONOMER	MG_047		S-adenosylmethionine synthetase
MG_048_MONOMER	MG_048		signal recognition particle protein
MG_049_MONOMER	MG_049		purine nucleoside phosphorylase
MG_050_MONOMER	MG_050		deoxyribose-phosphate aldolase
MG_051_MONOMER	MG_051		pyrimidine-nucleoside phosphorylase
MG_052_MONOMER	MG_052		cytidine deaminase
MG_053_MONOMER	MG_053		phosphoglucomutase/phosphomannomutase, putative
MG_054_MONOMER	MG_054		transcription antitermination protein NusG, putative
MG_055_MONOMER	MG_055		preprotein translocase, SecE subunit
MG_473_MONOMER	MG_473		ribosomal protein L33 type 2
MG_474_MONOMER	MG_474		
MG_056_MONOMER	MG_056		tetrapyrrole (corrin/porphyrin) methylase protein
MG_057_MONOMER	MG_057		small primase-like protein
MG_058_MONOMER	MG_058		ribose-phosphate pyrophosphokinase
MG_059_MONOMER	MG_059		SsrA-binding protein
MG_060_MONOMER	MG_060		glycosyl transferase
MG_061_MONOMER	MG_061		Mycoplasma MFS transporter
MG_062_MONOMER	MG_062		PTS system, fructose-specific IIABC component
MG_063_MONOMER	MG_063		1-phosphofructokinase, putative
MG_064_MONOMER	MG_064		ABC transporter, permease protein, putative
MG_065_MONOMER	MG_065		ABC transporter, ATP-binding protein
MG_066_MONOMER	MG_066		transketolase
MG_067_MONOMER	MG_067		lipoprotein, putative
MG_068_MONOMER	MG_068		lipoprotein, putative
MG_069_MONOMER	MG_069		PTS system, glucose-specific IIABC component
MG_070_MONOMER	MG_070		ribosomal protein S2
MG_071_MONOMER	MG_071		ATPase, P-type (transporting), HAD superfamily, subfamily IC
MG_072_MONOMER	MG_072		preprotein translocase, SecA subunit
MG_073_MONOMER	MG_073		excinuclease ABC, B subunit
MG_074_MONOMER	MG_074		
MG_075_MONOMER	MG_075		116 kDa surface antigen
MG_076_MONOMER	MG_076		
MG_077_MONOMER	MG_077		oligopeptide ABC transporter, permease protein
MG_078_MONOMER	MG_078		oligopeptide ABC transporter, permease protein
MG_079_MONOMER	MG_079		oligopeptide ABC transporter, ATP-binding protein
MG_080_MONOMER	MG_080		oligopeptide ABC transporter, ATP-binding protein
MG_081_MONOMER	MG_081		ribosomal protein L11
MG_082_MONOMER	MG_082		ribosomal protein L1
MG_083_MONOMER	MG_083		peptidyl-tRNA hydrolase
